127.0.0.1 - - [23/Dec/2020:15:50:41 +0900] "GET / HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:50:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:50:48 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:50:57 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:53:56 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:53:58 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:53:59 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:02 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:04 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:07 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:16 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:28 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 4716
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:54:38 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:15:55:25 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:25:50 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:25:51 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:25:58 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:26:03 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:26:08 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:26:09 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:29:04 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:29:07 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:29:24 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:29:26 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:29:27 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:04 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:06 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:08 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:16 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:17 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:36 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:38 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:39 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:54 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:30:56 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:31:49 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:31:51 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:34:28 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:34:31 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:40:42 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:40:46 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:40:47 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:40:48 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:41:01 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:41:03 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:41:04 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Dec/2020:16:47:07 +0900] "GET /CustomerManage/WEB-INF/customer/new.jsp HTTP/1.1" 404 1068
